,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
227,2015-08-16,10.25,4.07,,,,,,,,,
228,2015-08-17,14.04,9.62,86.27,87.35,85.74,87.12,1535158393.0,,,,
229,2015-08-18,11.74,8.83,86.98,87.65,86.41,86.94,1645107696.0,,,,
230,2015-08-19,12.47,10.13,86.57,87.3,85.67,86.4,2028540956.0,,,,
231,2015-08-20,25.72,24.01,85.76,86.35,84.34,84.54,2429410545.0,,,,
232,2015-08-21,11.03,4.92,83.72,84.4,81.81,82.04,3346661901.0,,,,
233,2015-08-22,4.65,-2.18,,,,,,,,,
234,2015-08-23,12.45,6.58,,,,,,,,,
235,2015-08-24,6.13,0.08,77.74,81.67,74.84,78.76,4607945196.0,,,,
236,2015-08-25,5.41,-0.37,81.06,81.6,77.75,77.85,3513983554.0,,,,
237,2015-08-26,4.09,-2.01,79.68,80.9,78.01,80.57,3491336054.0,,,,
238,2015-08-27,3.65,-1.79,81.55,83.01,80.65,82.47,3089606345.0,,,,
239,2015-08-28,2.48,-3.81,82.16,83.11,81.49,82.52,2381993919.0,,,,
240,2015-08-29,2.37,-4.2,,,,,,,,,
241,2015-08-30,3.17,-3.13,,,,,,,,,
242,2015-08-31,5.45,-0.38,82.14,82.93,81.05,81.68,2260926252.0,,,,
243,2015-09-01,0.59,-6.07,80.03,81.06,78.92,79.48,2792421756.0,,,,
244,2015-09-02,3.1,-1.62,80.49,81.28,79.4,80.98,2305867397.0,,,,
245,2015-09-03,7.36,3.57,81.29,82.24,80.56,81.09,2049713778.0,,,,
246,2015-09-04,12.04,8.77,80.05,80.85,79.33,79.98,2061957998.0,Washington,Pullman,1.0,0.0
247,2015-09-05,3.92,-3.5,,,,,,,,,
248,2015-09-06,0.65,-7.74,,,,,,,,,
249,2015-09-07,2.34,-5.15,,,,,,,,,
250,2015-09-08,12.16,7.56,81.29,82.27,80.59,82.02,2151195888.0,,,,
251,2015-09-09,5.44,0.97,82.72,83.24,80.75,80.98,2151465625.0,,,,
252,2015-09-10,15.56,14.27,80.84,82.03,80.35,81.27,2109253763.0,,,,
253,2015-09-11,5.23,0.33,80.92,81.94,80.4,81.72,1816100370.0,,,,
254,2015-09-12,3.57,-2.12,,,,,,,,,
255,2015-09-13,5.5,-0.84,,,,,,Texas,Bullard,0.0,0.0
256,2015-09-14,3.46,-3.21,81.75,82.05,80.78,81.33,1687559288.0,,,,
257,2015-09-15,2.39,-4.08,81.6,82.73,81.0,82.35,1912476432.0,,,,
258,2015-09-16,3.12,-2.78,82.41,83.36,81.86,82.99,1990302545.0,,,,
259,2015-09-17,9.98,6.17,83.0,84.39,82.29,83.03,2430994277.0,,,,
260,2015-09-18,7.75,3.38,82.06,83.0,81.21,81.74,3962050449.0,,,,
261,2015-09-19,3.46,-4.05,,,,,,,,,
262,2015-09-20,3.27,-3.71,,,,,,,,,
263,2015-09-21,4.22,-2.03,82.15,82.95,81.26,82.01,1936800494.0,,,,
264,2015-09-22,0.98,-5.83,81.01,81.69,80.09,80.91,2267784374.0,,,,
265,2015-09-23,0.92,-5.96,80.96,81.66,80.07,80.75,1744294943.0,,,,
266,2015-09-24,2.25,-3.7,80.14,80.96,79.13,80.35,2338348904.0,,,,
267,2015-09-25,4.9,-0.1,81.06,81.64,79.44,80.08,2246582165.0,,,,
268,2015-09-26,2.19,-5.27,,,,,,,,,
269,2015-09-27,4.21,-2.08,,,,,,,,,
270,2015-09-28,3.73,-1.76,79.6,80.03,77.27,77.74,2578488431.0,,,,
271,2015-09-29,3.15,-0.98,77.81,78.89,76.83,77.81,2471042581.0,,,,
272,2015-09-30,4.91,0.06,78.76,79.84,78.04,79.36,2567577737.0,California,Thousand Oaks,1.0,0.0
273,2015-10-01,7.64,4.07,79.47,80.29,78.21,79.57,2360225358.0,Oregon,Roseburg,1.0,1.0
274,2015-10-02,9.73,6.64,78.59,80.86,77.92,80.77,2605650654.0,,,,
275,2015-10-03,4.38,-1.6,,,,,,,,,
276,2015-10-04,4.72,-0.86,,,,,,,,,
277,2015-10-05,4.46,-1.46,81.34,82.6,80.68,82.06,2397650459.0,,,,
278,2015-10-06,1.66,-4.96,81.84,82.57,80.54,81.39,2318639417.0,,,,
279,2015-10-07,2.16,-4.58,81.78,82.79,80.75,82.09,2466930909.0,,,,
280,2015-10-08,3.53,-2.51,81.89,83.31,81.14,82.91,2163593126.0,,,,
281,2015-10-09,10.24,6.67,82.94,83.76,82.16,83.05,2025165279.0,,,,
282,2015-10-10,5.33,-2.35,,,,,,,,,
283,2015-10-11,5.41,-2.95,,,,,,,,,
284,2015-10-12,1.93,-5.61,83.13,83.9,82.39,83.31,1516724515.0,,,,
285,2015-10-13,1.3,-6.58,82.86,83.81,82.13,82.62,1850016001.0,,,,
286,2015-10-14,1.9,-5.35,82.69,83.41,81.47,82.06,2225923611.0,,,,
287,2015-10-15,4.09,-1.55,82.28,83.48,81.51,83.17,2277999917.0,,,,
288,2015-10-16,6.5,1.23,83.46,84.07,82.51,83.46,2220662529.0,,,,
289,2015-10-17,1.83,-5.18,,,,,,,,,
290,2015-10-18,6.42,1.69,,,,,,,,,
291,2015-10-19,3.75,-2.63,82.92,83.87,82.26,83.32,2022466590.0,,,,
292,2015-10-20,0.96,-5.28,83.19,84.02,82.35,83.15,2030872298.0,,,,
293,2015-10-21,2.06,-4.29,83.45,84.05,81.88,82.56,2187954863.0,,,,
294,2015-10-22,5.3,0.72,82.97,84.53,82.06,83.64,2796132507.0,,,,
295,2015-10-23,14.26,10.93,84.48,85.28,83.14,84.24,2605974506.0,,,,
296,2015-10-24,5.73,-1.13,,,,,,,,,
297,2015-10-25,4.77,-1.47,,,,,,,,,
298,2015-10-26,4.82,-0.95,84.25,85.18,83.44,84.4,2031191918.0,,,,
299,2015-10-27,1.52,-4.07,84.04,85.0,83.13,84.2,2271776935.0,,,,
300,2015-10-28,7.98,4.64,84.3,85.57,83.27,85.04,2506937591.0,,,,
